lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05406,-34.94934,-94.91,-90.8878571428571,-90.3642857142857,-80.08,-84.8275,-91.53,-85.2516666666667,-86.59,-96.72,5,2,4,7607
-8.04991,-34.94761,-99.72,-86.345,-100.99,-82.0,-92.7425,-96.7742857142857,-91.2466666666667,-95.51799999999999,-98.9125,4,2,5,8831
-8.04809,-34.94755,-102.44,-82.2914285714286,-95.26357142857141,-93.45,-97.685,-104.03,-106.07,-102.064,-94.6125,3,3,6,9351
-8.0521,-34.956790000000005,-88.15285714285709,-98.10857142857141,-87.84,-98.54,-98.52,-93.42142857142859,-67.8783333333333,-95.63,-82.1,5,6,2,8079
-8.05935,-34.94614,-91.44714285714291,-81.48,-92.29428571428569,-93.0216666666667,-79.3775,-60.48,-90.2566666666667,-90.5772727272727,-95.8575,8,3,6,6629
-8.0554,-34.95619,-81.58,-98.56857142857142,-84.2,-96.4316666666667,-93.13,-96.72,-87.905,-73.8364,-94.2117857142857,6,6,1,7213
-8.05583,-34.95852,-88.49,-99.5742857142857,-87.8271428571429,-95.8766666666667,-95.8825,-86.72,-87.24,-89.988,-65.91,7,7,0,6940
-8.0501,-34.95475,-84.13371428571429,-98.2553571428572,-85.3985714285714,-101.535,-98.46625,-90.6569047619048,-80.61722222222221,-99.9346666666667,-96.98277777777781,3,5,3,8789
-8.05057,-34.95335,-84.45,-94.02,-82.2885714285714,-94.7333333333333,-95.135,-93.21142857142858,-90.965,-95.39,-98.2875,3,4,3,8657
-8.05493,-34.95613,-84.9371428571429,-98.7371428571429,-86.3557142857143,-100.8,-97.7,-97.47,-84.1666666666667,-87.35799999999999,-99.05,6,5,1,7400
-8.056410000000001,-34.95068,-91.21857142857141,-92.1571428571429,-91.9266666666666,-86.34,-93.91,-84.27,-91.6233333333333,-90.598,-95.73,6,3,3,6817
-8.051210000000001,-34.95238,-87.28,-90.94,-80.9671428571429,-84.59,-82.97,-88.77857142857141,-90.12,-93.0,-95.1975,4,4,3,8507
-8.048169999999999,-34.9591,-80.7,-90.59714285714291,-81.14,-96.4233333333333,-97.958125,-95.7967857142857,-84.17,-106.544,-86.21,4,7,3,9320
-8.05539,-34.95368,-89.3107142857143,-96.14,-89.02857142857141,-97.1,-90.0925,-96.01142857142858,-83.185,-91.26,-93.745,6,4,2,7225
-8.050460000000001,-34.95397,-92.66,-97.97,-90.2157142857143,-98.09,-95.9525,-94.54,-87.395,-98.04799999999999,-99.05,3,5,3,8710
-8.05415,-34.94938,-90.99142857142859,-91.4907142857143,-90.54857142857142,-85.28,-84.8275,-88.54428571428569,-87.7333333333333,-88.816,-96.72,5,2,4,7590
-8.048169999999999,-34.95926,-89.7,-89.59571428571431,-77.26,-92.96,-93.65,-95.7967857142857,-84.17,-106.544,-85.2225,4,7,3,9318
